Gen ind   P      D     Cost
35   24    15852    5864   -4.540966
35   25    11725    5883   -4.529440
36   1    14700    5867   -4.519637
36   2    15852    5868   -4.540499
36   3    11624    5881   -4.532139
36   4    15852    5868   -4.540499
36   5    11620    14072   -5.797739
36   6    11756    1785   -5.882230
36   7    10476    5832   -4.576430
36   8    10476    5864   -4.577780
36   9    10476    5832   -4.576430
36   10    11756    5880   -4.528659
36   11    11756    5880   -4.528659
36   12    3533    5883   -7.394478
36   13    15534    5880   -4.532419
36   14    14700    6123   -4.498874
36   15    11309    4827   -4.570545
36   16    15532    5864   -4.534120
36   17    15598    5864   -4.535474
36   18    15852    5864   -4.540966
36   19    15532    14056   -5.061926
36   20    10596    5880   -4.572112
36   21    15852    5864   -4.540966
36   22    11821    4827   -4.575020
36   23    15853    6120   -4.513173
36   24    15532    5864   -4.534120
36   25    15852    5868   -4.540499
37   1    14700    6123   -4.498874
37   2    15853    6088   -4.516426
37   3    11620    5880   -4.532248
37   4    15853    6120   -4.513173
37   5    13484    5864   -4.510397
37   6    15852    14060   -5.024360
37   7    11756    5880   -4.528659
37   8    10476    5824   -4.576100
37   9    11756    5880   -4.528659
37   10    15852    5864   -4.540966
37   11    10604    5880   -4.571702
37   12    15854    5864   -4.541011
37   13    11309    4827   -4.570545
37   14    14700    6123   -4.498874
37   15    10476    5832   -4.576430
37   16    14700    6123   -4.498874
37   17    15852    5864   -4.540966
37   18    15532    5864   -4.534120
37   19    10476    5832   -4.576430
37   20    15598    5864   -4.535474
37   21    14700    6122   -4.498947
37   22    11756    5880   -4.528659
37   23    15852    5868   -4.540499
37   24    10476    5832   -4.576430
37   25    15528    14056   -5.062414
38   1    14700    6123   -4.498874
38   2    10476    5832   -4.576430
38   3    15852    6088   -4.516408
38   4    15853    6088   -4.516426
38   5    11756    5880   -4.528659
38   6    10604    6123   -4.582655
38   7    11756    5880   -4.528659
38   8    15854    5864   -4.541011
38   9    10476    5824   -4.576100
38   10    14444    6123   -4.497327
38   11    15853    6088   -4.516426
38   12    15852    5864   -4.540966
38   13    10476    5832   -4.576430
38   14    10476    5832   -4.576430
38   15    15660    5868   -4.536324
38   16    15528    14056   -5.062414
38   17    10540    5880   -4.575033
38   18    14700    6123   -4.498874
38   19    10472    5824   -4.576310
38   20    15404    5864   -4.531584
38   21    10476    5824   -4.576100
38   22    10476    5824   -4.576100
38   23    15853    5864   -4.540988
38   24    11565    4826   -4.572360
38   25    14716    6123   -4.498991
39   1    14444    6123   -4.497327
39   2    10540    5880   -4.575033
39   3    15660    5868   -4.536324
39   4    15852    5864   -4.540966
39   5    14830    5864   -4.521756
39   6    14444    6123   -4.497327
39   7    14700    6139   -4.497707
39   8    11756    5880   -4.528659
39   9    10472    5824   -4.576310
39   10    15854    5864   -4.541011
39   11    14700    6123   -4.498874
39   12    11756    6088   -4.529191
39   13    15660    5868   -4.536324
39   14    11500    5824   -4.535486
39   15    10604    6123   -4.582655
39   16    15660    5868   -4.536324
39   17    10476    5824   -4.576100
39   18    15852    6088   -4.516408
39   19    15852    5880   -4.539106
39   20    11628    5880   -4.532027
39   21    15660    5868   -4.536324
39   22    10476    5833   -4.576471
39   23    11756    5880   -4.528659
39   24    15660    5868   -4.536324
39   25    10476    5824   -4.576100
40   1    14444    6123   -4.497327
40   2    14700    6139   -4.497707
40   3    11628    5880   -4.532027
40   4    11500    5824   -4.535486
40   5    11500    5824   -4.535486
40   6    10604    6091   -4.581040
40   7    11500    5880   -4.535719
40   8    11756    6088   -4.529191
40   9    11756    6088   -4.529191
40   10    14692    6139   -4.497652
40   11    15660    5868   -4.536324
40   12    15852    5752   -4.554450
40   13    15660    5836   -4.539943
40   14    10476    5832   -4.576430
40   15    14700    6123   -4.498874
40   16    10472    5824   -4.576310
40   17    15660    5868   -4.536324
40   18    15660    5868   -4.536324
40   19    10472    5824   -4.576310
40   20    10476    5833   -4.576471
40   21    11756    5880   -4.528659
40   22    11692    5880   -4.530304
40   23    14700    6123   -4.498874
40   24    10540    5880   -4.575033
40   25    14444    6123   -4.497327
41   1    14444    6123   -4.497327
41   2    11756    5880   -4.528659
41   3    14700    6139   -4.497707
41   4    10476    5833   -4.576471
41   5    14700    6123   -4.498874
41   6    11756    6088   -4.529191
41   7    10476    5833   -4.576471
41   8    10540    5880   -4.575033
41   9    11756    6088   -4.529191
41   10    11500    5824   -4.535486
41   11    10344    5824   -4.583265
41   12    11692    5880   -4.530304
41   13    11756    5880   -4.528659
41   14    14444    5867   -4.516443
41   15    14568    5832   -4.520948
41   16    11628    1784   -5.861066
41   17    11628    5880   -4.532027
41   18    11756    5882   -4.528653
41   19    10476    5849   -4.577140
41   20    9452    5880   -4.650929
41   21    11756    5880   -4.528659
41   22    15852    5752   -4.554450
41   23    10604    6107   -4.581841
41   24    15660    6124   -4.509704
41   25    15660    1772   -6.580000
42   1    14444    6123   -4.497327
42   2    11628    1784   -5.861066
42   3    11500    5824   -4.535486
42   4    11692    5880   -4.530304
42   5    10604    6107   -4.581841
42   6    14572    5833   -4.520914
42   7    11756    5880   -4.528659
42   8    14444    5867   -4.516443
42   9    11756    5880   -4.528659
42   10    15660    6124   -4.509704
42   11    10476    5833   -4.576471
42   12    10476    5849   -4.577140
42   13    11756    5882   -4.528653
42   14    14568    5832   -4.520948
42   15    14700    6139   -4.497707
42   16    9452    5880   -4.650929
42   17    9708    5880   -4.629448
42   18    11756    6088   -4.529191
42   19    15660    6124   -4.509704
42   20    10476    5849   -4.577140
42   21    10476    5849   -4.577140
42   22    11756    5882   -4.528653
42   23    11756    5880   -4.528659
42   24    11756    1784   -5.883383
42   25    11692    5880   -4.530304
43   1    14444    6123   -4.497327
43   2    14572    5833   -4.520914
43   3    11692    5880   -4.530304
43   4    11116    6107   -4.554613
43   5    11500    5824   -4.535486
43   6    9708    5848   -4.627026
43   7    11756    6088   -4.529191
43   8    11756    5880   -4.528659
43   9    11692    5880   -4.530304
43   10    10476    5849   -4.577140
43   11    15788    6124   -4.511708
43   12    11756    1786   -5.881077
43   13    11500    5824   -4.535486
43   14    10476    5849   -4.577140
43   15    14572    5833   -4.520914
43   16    14440    6123   -4.497308
43   17    10604    6139   -4.583481
43   18    11756    6088   -4.529191
43   19    15660    6124   -4.509704
43   20    9452    5880   -4.650929
43   21    10476    5833   -4.576471
43   22    9452    5880   -4.650929
43   23    11756    1784   -5.883383
43   24    11692    5880   -4.530304
43   25    14700    6139   -4.497707
44   1    14440    6123   -4.497308
44   2    14441    6123   -4.497313
44   3    11756    6088   -4.529191
44   4    9708    5848   -4.627026
44   5    14572    5833   -4.520914
44   6    9452    5848   -4.648126
44   7    10476    5832   -4.576430
44   8    14440    6123   -4.497308
44   9    9708    5848   -4.627026
44   10    11500    5824   -4.535486
44   11    11692    5880   -4.530304
44   12    10476    5849   -4.577140
44   13    9452    5880   -4.650929
44   14    11500    5824   -4.535486
44   15    11756    6088   -4.529191
44   16    11116    6107   -4.554613
44   17    10472    5849   -4.577354
44   18    15660    6125   -4.509608
44   19    11692    5880   -4.530304
44   20    11500    5824   -4.535486
44   21    14700    6138   -4.497779
44   22    10604    6139   -4.583481
44   23    10572    6139   -4.585455
44   24    14444    6123   -4.497327
44   25    15756    6124   -4.511196
45   1    14440    6123   -4.497308
45   2    11756    6088   -4.529191
45   3    14441    6123   -4.497313
45   4    14440    6115   -4.497846
45   5    15756    6124   -4.511196
45   6    9452    5784   -4.642680
45   7    14444    6123   -4.497327
45   8    10476    5832   -4.576430
45   9    10476    5849   -4.577140
45   10    14568    6123   -4.497998
45   11    10572    6139   -4.585455
45   12    10476    5833   -4.576471
45   13    14572    5833   -4.520914
45   14    14440    6123   -4.497308
45   15    11500    5824   -4.535486
45   16    15756    6124   -4.511196
45   17    8684    5848   -4.727946
45   18    8424    5849   -4.761692
45   19    10344    6123   -4.599405
45   20    15652    6125   -4.509487
45   21    11500    6080   -4.537930
45   22    11756    6088   -4.529191
45   23    9444    5848   -4.648825
45   24    14441    6123   -4.497313
45   25    14700    6138   -4.497779
46   1    14440    6123   -4.497308
46   2    8424    5849   -4.761692
46   3    12393    6123   -4.512160
46   4    14440    6123   -4.497308
46   5    14440    6123   -4.497308
46   6    14568    6123   -4.497998
46   7    11756    6088   -4.529191
46   8    15756    6124   -4.511196
46   9    11500    5824   -4.535486
46   10    14572    5833   -4.520914
46   11    11500    6096   -4.538199
46   12    14568    6123   -4.497998
46   13    10476    1737   -5.715011
46   14    14700    6138   -4.497779
46   15    12268    6088   -4.515251
46   16    9452    5784   -4.642680
46   17    15756    6124   -4.511196
46   18    9444    5850   -4.648999
46   19    14440    6123   -4.497308
46   20    14572    5833   -4.520914
46   21    15756    6124   -4.511196
46   22    11500    5832   -4.535509
46   23    15756    5612   -4.569773
46   24    10344    6123   -4.599405
46   25    11500    6080   -4.537930
47   1    14440    6123   -4.497308
47   2    11500    5824   -4.535486
47   3    15628    6124   -4.509222
47   4    8428    5849   -4.761146
47   5    14568    5833   -4.520861
47   6    14584    6123   -4.498096
47   7    15756    6124   -4.511196
47   8    14440    6123   -4.497308
47   9    14568    6123   -4.497998
47   10    11244    6088   -4.548333
47   11    9452    5776   -4.642013
47   12    9452    5784   -4.642680
47   13    9444    5850   -4.648999
47   14    12393    6123   -4.512160
47   15    11756    6088   -4.529191
47   16    9444    5850   -4.648999
47   17    14700    6138   -4.497779
47   18    9452    5784   -4.642680
47   19    11500    8144   -4.711406
47   20    11492    5850   -4.535805
47   21    12269    6088   -4.515229
47   22    14572    5833   -4.520914
47   23    10476    1737   -5.715011
47   24    14572    5833   -4.520914
47   25    14700    6142   -4.497490
48   1    14440    6123   -4.497308
48   2    14572    5833   -4.520914
48   3    9452    5784   -4.642680
48   4    11492    5850   -4.535805
48   5    14568    5833   -4.520861
48   6    14700    6138   -4.497779
48   7    14440    6123   -4.497308
48   8    9444    5850   -4.648999
48   9    13417    6123   -4.498031
48   10    14572    5833   -4.520914
48   11    11500    8144   -4.711406
48   12    11492    5850   -4.535805
48   13    14572    5833   -4.520914
48   14    10476    1737   -5.715011
48   15    14568    6123   -4.497998
48   16    9452    5784   -4.642680
48   17    8300    5849   -4.779083
48   18    14568    5833   -4.520861
48   19    14568    5833   -4.520861
48   20    14440    6121   -4.497442
48   21    14700    6142   -4.497490
48   22    9444    5850   -4.648999
48   23    14828    5833   -4.524616
48   24    14828    5833   -4.524616
48   25    11500    5824   -4.535486
49   1    14440    6123   -4.497308
49   2    14440    2027   -6.045652
49   3    14828    5849   -4.523117
49   4    15592    5833   -4.538812
49   5    14568    5837   -4.520511
49   6    14564    5833   -4.520808
49   7    9444    5850   -4.648999
49   8    11500    8144   -4.711406
49   9    8300    5849   -4.779083
49   10    9440    5850   -4.649350
49   11    14572    5833   -4.520914
49   12    14700    6142   -4.497490
49   13    14440    6121   -4.497442
49   14    14440    6123   -4.497308
49   15    11492    5786   -4.535643
49   16    14636    6142   -4.497074
49   17    14572    5833   -4.520914
49   18    11492    5850   -4.535805
49   19    9452    5786   -4.642847
49   20    11500    8144   -4.711406
49   21    9452    5784   -4.642680
49   22    8300    5849   -4.779083
49   23    14700    6138   -4.497779
49   24    11492    5842   -4.535772
49   25    14432    6123   -4.497270
50   1    14636    6142   -4.497074
50   2    14440    6123   -4.497308
50   3    14440    6123   -4.497308
50   4    14440    6123   -4.497308
50   5    14828    5849   -4.523117
50   6    14432    6123   -4.497270
50   7    11492    5842   -4.535772
50   8    14440    6123   -4.497308
50   9    11500    8145   -4.711550
50   10    11492    5842   -4.535772
50   11    15592    5833   -4.538812
50   12    14440    6121   -4.497442
50   13    11492    5842   -4.535772
50   14    8300    5849   -4.779083
50   15    14700    6138   -4.497779
50   16    11500    8144   -4.711406
50   17    14572    5833   -4.520914
50   18    9440    5850   -4.649350
50   19    14440    6123   -4.497308
50   20    9452    5786   -4.642847
50   21    14440    6123   -4.497308
50   22    14572    5833   -4.520914
50   23    14828    5849   -4.523117
50   24    12384    6123   -4.512355
50   25    14636    6142   -4.497074
51   1    14636    6142   0.000000
51   2    14636    6142   0.000000
51   3    14408    6123   0.000000
51   4    11492    5842   0.000000
51   5    11492    5842   0.000000
51   6    11492    5842   0.000000
51   7    14440    6122   0.000000
51   8    9440    5850   0.000000
51   9    10476    5849   0.000000
51   10    14828    5849   0.000000
51   11    14444    6123   0.000000
51   12    14700    6138   0.000000
51   13    11492    5843   0.000000
51   14    14828    5849   0.000000
51   15    10540    6142   0.000000
51   16    14432    6123   0.000000
51   17    14828    5849   0.000000
51   18    11492    5842   0.000000
51   19    11500    8145   0.000000
51   20    11500    8145   0.000000
51   21    14440    6089   0.000000
51   22    14440    6121   0.000000
51   23    10732    7897   0.000000
51   24    11494    5842   0.000000
51   25    14636    6142   0.000000
