Gen ind   P      D     Cost
9   2    11628    4809   -4.574404
9   3    6693    4656   -4.844174
9   4    10604    5849   -4.570527
9   5    11628    5849   -4.532015
9   6    11628    4825   -4.573031
9   7    11628    5849   -4.532015
9   8    6180    1650   -5.099230
9   9    6436    1594   -5.174630
9   10    11374    5849   -4.539394
9   11    16364    5321   -4.633031
9   12    11628    6105   -4.533676
9   13    6183    1842   -4.988837
9   14    11596    4825   -4.572725
9   15    11628    5849   -4.532015
9   16    11724    12505   -5.446692
9   17    11628    4859   -4.570190
9   18    11628    5849   -4.532015
9   19    6149    1650   -5.095225
9   20    6693    1592   -5.214765
9   21    11628    1753   -5.896848
9   22    6437    1594   -5.174777
9   23    6183    1842   -4.988837
9   24    11628    4825   -4.573031
9   25    11628    4827   -4.572861
10   1    11630    5849   -4.531962
10   2    6661    1650   -5.164999
10   3    11628    4809   -4.574404
10   4    6436    1650   -5.133393
10   5    16364    5321   -4.633031
10   6    11628    4825   -4.573031
10   7    11628    5849   -4.532015
10   8    11756    4809   -4.575863
10   9    16364    5321   -4.633031
10   10    6183    1842   -4.988837
10   11    6693    4656   -4.844174
10   12    16364    5321   -4.633031
10   13    11628    4827   -4.572861
10   14    11628    5849   -4.532015
10   15    11628    5849   -4.532015
10   16    11628    6105   -4.533676
10   17    11628    5849   -4.532015
10   18    7207    1842   -5.107566
10   19    6148    1650   -5.095096
10   20    11630    5849   -4.531962
10   21    11628    5849   -4.532015
10   22    11596    4825   -4.572725
10   23    11628    5849   -4.532015
10   24    6693    4656   -4.844174
10   25    6693    1720   -5.120712
11   1    11630    5849   -4.531962
11   2    11628    4809   -4.574404
11   3    11630    5849   -4.531962
11   4    10604    5849   -4.570527
11   5    11628    5833   -4.532029
11   6    6148    1778   -5.018554
11   7    6701    4656   -4.842752
11   8    11628    5849   -4.532015
11   9    11374    5849   -4.539394
11   10    11628     729   -8.554832
11   11    11628    4827   -4.572861
11   12    11628    5849   -4.532015
11   13    10604    4809   -4.572501
11   14    11756    4809   -4.575863
11   15    11630    5337   -4.540654
11   16    11564    4825   -4.572433
11   17    11628    4827   -4.572861
11   18    11628    5849   -4.532015
11   19    12268    5321   -4.539119
11   20    10604    5849   -4.570527
11   21    6693    4656   -4.844174
11   22    7207    1842   -5.107566
11   23    6436    1650   -5.133393
11   24    16364    5321   -4.633031
11   25    11628    4825   -4.573031
12   1    11630    5849   -4.531962
12   2    11628    5849   -4.532015
12   3    6701    4656   -4.842752
12   4    11628    1753   -5.896848
12   5    6148    1778   -5.018554
12   6    6436    1650   -5.133393
12   7    11630    5337   -4.540654
12   8    11564    5833   -4.533730
12   9    11628    4809   -4.574404
12   10    11628    4827   -4.572861
12   11    11628    4827   -4.572861
12   12    12268    5321   -4.539119
12   13    11374    6105   -4.543302
12   14    11756    4809   -4.575863
12   15    11580    4825   -4.572577
12   16    11628    5849   -4.532015
12   17    11374    5849   -4.539394
12   18    11630    5849   -4.531962
12   19    16364    5321   -4.633031
12   20    12268    5321   -4.539119
12   21    11628    5849   -4.532015
12   22    10604    5849   -4.570527
12   23    6436    1650   -5.133393
12   24    11756    5065   -4.555365
12   25    6693    4656   -4.844174
13   1    11630    5849   -4.531962
13   2    6701    4656   -4.842752
13   3    11628    4827   -4.572861
13   4    11564    5833   -4.533730
13   5    11756    5065   -4.555365
13   6    11756    5097   -4.553201
13   7    12140    5321   -4.539064
13   8    12268    5321   -4.539119
13   9    11630    5849   -4.531962
13   10    11628    4841   -4.571681
13   11    10604    4825   -4.571794
13   12    11628    5849   -4.532015
13   13    11630    5849   -4.531962
13   14    3436    4827   -6.644755
13   15    16364    5321   -4.633031
13   16    11628    5849   -4.532015
13   17    11580    4827   -4.572411
13   18    11622    5337   -4.540729
13   19    11374    5849   -4.539394
13   20    11628    5849   -4.532015
13   21    11628    5851   -4.532014
13   22    6436    1650   -5.133393
13   23    16364    5353   -4.627762
13   24    11628    5849   -4.532015
13   25    11628    4809   -4.574404
14   1    11630    5849   -4.531962
14   2    11628    5851   -4.532014
14   3    11630    14041   -5.788561
14   4    11628    5851   -4.532014
14   5    6701    4658   -4.843102
14   6    11622    5337   -4.540729
14   7    11630    5849   -4.531962
14   8    11756    5097   -4.553201
14   9    11630    5849   -4.531962
14   10    11628    5849   -4.532015
14   11    11626    5849   -4.532068
14   12    11628    5337   -4.540673
14   13    11644    5849   -4.531594
14   14    11756    4841   -4.572984
14   15    11628    5849   -4.532015
14   16    11630    5849   -4.531962
14   17    11628    4809   -4.574404
14   18    16364    5353   -4.627762
14   19    11628    4841   -4.571681
14   20    11628    5849   -4.532015
14   21    15724    5849   -4.539857
14   22    11622    5337   -4.540729
14   23    11756    4585   -4.598669
14   24    11756    5097   -4.553201
14   25    11372    4827   -4.570873
15   1    11644    5849   -4.531594
15   2    11644    5849   -4.531594
15   3    11756    4585   -4.598669
15   4    11628    5851   -4.532014
15   5    11628    5849   -4.532015
15   6    11756    4841   -4.572984
15   7    9582    5849   -4.637184
15   8    11628    5851   -4.532014
15   9    11628    5337   -4.540673
15   10    11620    5851   -4.532227
15   11    11756    4329   -4.633023
15   12    11628    5849   -4.532015
15   13    15724    5849   -4.539857
15   14    11628    5849   -4.532015
15   15    11644    5849   -4.531594
15   16    11628    5849   -4.532015
15   17    11372    4827   -4.570873
15   18    11646    5849   -4.531541
15   19    11756    5865   -4.528711
15   20    11628    4809   -4.574404
15   21    11628    4841   -4.571681
15   22    11756    4969   -4.562380
15   23    11622    5337   -4.540729
15   24    11628    5849   -4.532015
15   25    15724    5849   -4.539857
16   1    11756    5865   -4.528711
16   2    15726    5849   -4.539901
16   3    11644    5848   -4.531595
16   4    11372    4827   -4.570873
16   5    11372    5851   -4.539475
16   6    11756    4585   -4.598669
16   7    11500    4827   -4.571738
16   8    11628    5851   -4.532014
16   9    11628    5337   -4.540673
16   10    11622    5337   -4.540729
16   11    11628    5849   -4.532015
16   12    11644    5849   -4.531594
16   13    11756    5865   -4.528711
16   14    11628    5849   -4.532015
16   15    11644    5849   -4.531594
16   16    11756    5865   -4.528711
16   17    11622    5337   -4.540729
16   18    11628    1755   -5.894515
16   19    11646    5833   -4.531565
16   20    11628    5849   -4.532015
16   21    11372    4827   -4.570873
16   22    11628    4809   -4.574404
16   23    11372    4827   -4.570873
16   24    11628    5849   -4.532015
16   25    11628    5883   -4.532031
17   1    11756    5865   -4.528711
17   2    11644    5841   -4.531603
17   3    11628    5721   -4.532522
17   4    11756    5865   -4.528711
17   5    11628    5849   -4.532015
17   6    11620    4809   -4.574321
17   7    11628    4809   -4.574404
17   8    15726    5337   -4.607385
17   9    11644    5785   -4.531769
17   10    11628    5883   -4.532031
17   11    11500    4827   -4.571738
17   12    11644    5849   -4.531594
17   13    11372    4827   -4.570873
17   14    11372    4827   -4.570873
17   15    11622    5337   -4.540729
17   16    11646    5833   -4.531565
17   17    11372    4827   -4.570873
17   18    11623    5337   -4.540719
17   19    11388    4827   -4.570967
17   20    11646    5833   -4.531565
17   21    11628    5849   -4.532015
17   22    11500    4827   -4.571738
17   23    11622    5337   -4.540729
17   24    11628    5849   -4.532015
17   25    11628    5833   -4.532029
18   1    11756    5865   -4.528711
18   2    11644    5841   -4.531603
18   3    11756    5865   -4.528711
18   4    15726    5337   -4.607385
18   5    11372    4827   -4.570873
18   6    11756    5865   -4.528711
18   7    11500    4827   -4.571738
18   8    11372    4827   -4.570873
18   9    11622    5337   -4.540729
18   10    11500    4827   -4.571738
18   11    11628    4859   -4.570190
18   12    11622    5339   -4.540645
18   13    11628    4809   -4.574404
18   14    11622    13529   -5.684224
18   15    11372    5849   -4.539458
18   16    11628    5833   -4.532029
18   17    11372    4827   -4.570873
18   18    11756    5865   -4.528711
18   19    11380    4827   -4.570919
18   20    11630    5883   -4.531976
18   21    11628    5849   -4.532015
18   22    11622    5337   -4.540729
18   23    11644    5825   -4.531633
18   24    11644    5329   -4.540873
18   25    11620    4297   -4.633865
19   1    11756    5865   -4.528711
19   2    11644    5841   -4.531603
19   3    11628    5849   -4.532015
19   4    11644    5825   -4.531633
19   5    11628    4809   -4.574404
19   6    11372    5849   -4.539458
19   7    11630    5883   -4.531976
19   8    11644    5824   -4.531636
19   9    11500    4827   -4.571738
19   10    11644    5841   -4.531603
19   11    11630    5833   -4.531977
19   12    11374    4827   -4.570884
19   13    11628     713   -8.659350
19   14    11622    5337   -4.540729
19   15    11756    5865   -4.528711
19   16    11492    4827   -4.571677
19   17    15726    5337   -4.607385
19   18    11756    5865   -4.528711
19   19    11500    4827   -4.571738
19   20    11756    5865   -4.528711
19   21    11756    5865   -4.528711
19   22    11756    5865   -4.528711
19   23    15726    5337   -4.607385
19   24    11372    4827   -4.570873
19   25    11628    5833   -4.532029
20   1    11756    5865   -4.528711
20   2    11500    4827   -4.571738
20   3    11644    5841   -4.531603
20   4    11628    4809   -4.574404
20   5    3564    5865   -7.329725
20   6    11628    5865   -4.532015
20   7    11372    5849   -4.539458
20   8    11644    5824   -4.531636
20   9    11500    4827   -4.571738
20   10    11622    5337   -4.540729
20   11    11372    4809   -4.572237
20   12    11756    5865   -4.528711
20   13    11372    5849   -4.539458
20   14    11372    4827   -4.570873
20   15    11756    5737   -4.529664
20   16    11500    4827   -4.571738
20   17    11756    5865   -4.528711
20   18    11756    5865   -4.528711
20   19    11622    5337   -4.540729
20   20    11756    5865   -4.528711
20   21    11622    5337   -4.540729
20   22    11628    5849   -4.532015
20   23    11628    4809   -4.574404
20   24    11630    5833   -4.531977
20   25    11630    5883   -4.531976
21   1    11756    5865   -4.528711
21   2    11756    5865   -4.528711
21   3    15726    5883   -4.536035
21   4    11756    5865   -4.528711
21   5    11622    5337   -4.540729
21   6    11644    7872   -4.661845
21   7    11372    5865   -4.539601
21   8    11630    5833   -4.531977
21   9    11644    5824   -4.531636
21   10    11372    4809   -4.572237
21   11    11628    4809   -4.574404
21   12    11644    5841   -4.531603
21   13    11372    5849   -4.539458
21   14    11756    5881   -4.528656
21   15    11308    4827   -4.570540
21   16    11372    5849   -4.539458
21   17    11644    5841   -4.531603
21   18    11628    5849   -4.532015
21   19    11756    5737   -4.529664
21   20    11756    5737   -4.529664
21   21    11372    4808   -4.572314
21   22    11500    4827   -4.571738
21   23    11500    4827   -4.571738
21   24    11628    5881   -4.532028
